epoch,processor_unit_units_status_cpu_board_cpu_fan_avg,processor_unit_units_status_cpu_board_cpu_fan_max,processor_unit_units_status_cpu_board_cpu_bd_fan1_avg,processor_unit_units_status_cpu_board_cpu_bd_fan1_max,processor_unit_units_status_cpu_board_cpu_bd_fan2_avg,processor_unit_units_status_cpu_board_cpu_bd_fan2_max,processor_unit_units_status_cpu_board_cpu_bd_temp_avg,processor_unit_units_status_cpu_board_cpu_bd_temp_max,processor_unit_units_status_cpu_board_cpu_core_temp_avg,processor_unit_units_status_cpu_board_cpu_core_temp_max,processor_unit_units_status_cpu_board_gpu_core_temp_avg,processor_unit_units_status_cpu_board_gpu_core_temp_max,processor_unit_units_status_cpu_board_cpu_core_vol_avg,processor_unit_units_status_cpu_board_cpu_core_vol_max,processor_unit_units_status_cpu_board_cpu_bd_vbat_avg,processor_unit_units_status_cpu_board_cpu_bd_vbat_max,processor_unit_units_status_cpu_board_cpu_bd_p3_3v_avg,processor_unit_units_status_cpu_board_cpu_bd_p3_3v_max,processor_unit_units_status_cpu_board_cpu_bd_p5v_avg,processor_unit_units_status_cpu_board_cpu_bd_p5v_max,processor_unit_units_status_cpu_board_cpu_bd_p12v_avg,processor_unit_units_status_cpu_board_cpu_bd_p12v_max
1000,0.005768827,0.046890438,0.0041692182,0.038767606,0.018417876,0.063843906,0.010440064,0.100849986,0.007707713,0.08051556,0.0071753305,0.03470975,0.0075105997,0.044838205,0.008194582,0.03754443,0.0063312347,0.03176353,0.0047116415,0.029319046,0.02010739,0.044170126
2000,0.0059785857,0.023143828,0.0028965196,0.017292738,0.012173914,0.03960949,0.0076412903,0.026474655,0.0024522839,0.015235186,0.002619475,0.01759836,0.0018197628,0.019166056,0.010911149,0.031080961,0.0028603233,0.019562108,0.004306506,0.020530641,0.0027097065,0.016869485
3000,0.0021445958,0.01760538,0.0028499893,0.022957683,0.009119507,0.03665203,0.0036339334,0.015216529,0.002640147,0.019159436,0.0032620605,0.012576029,0.0062698927,0.02122815,0.004505115,0.017818386,0.0021675169,0.018999338,0.0033522006,0.017030835,0.004390316,0.017109828
4000,0.0031153506,0.015814021,0.008836067,0.018225849,0.0042870087,0.017428279,0.012353289,0.024015605,0.0061174063,0.01684928,0.0044203666,0.015344143,0.0018025503,0.010740876,0.00247511,0.015873492,0.003210326,0.017152786,0.0023064492,0.014265358,0.003958689,0.013613433
5000,0.002967772,0.0106806755,0.0050602276,0.012082875,0.00597767,0.015085816,0.0018140641,0.011381432,0.0027998916,0.00949648,0.001645927,0.008621156,0.0014171284,0.0074983835,0.004908793,0.012932479,0.0015667583,0.012293935,0.004972799,0.015085638,0.0042075953,0.012369126
6000,0.0012652663,0.008274779,0.0026354787,0.0084783435,0.0018799042,0.009741962,0.0017840028,0.006945133,0.003411816,0.00908193,0.0012035527,0.0068329573,0.0033387567,0.014087194,0.005229585,0.013206124,0.00633793,0.014074697,0.0010260358,0.009595915,0.0015024566,0.007228716
7000,0.0013286683,0.0083553195,0.006657486,0.012867928,0.0021802096,0.010344386,0.0011860846,0.008551002,0.0019001456,0.0069851726,0.0010920032,0.006210625,0.0035496666,0.010640502,0.0029426804,0.008043571,0.0023596103,0.007868662,0.0021505598,0.008347898,0.0040922305,0.010424018
8000,0.0014767991,0.00739336,0.003447316,0.011935353,0.0020761238,0.008407116,0.001691585,0.0063548684,0.0024520229,0.007573724,0.001845343,0.0065975934,0.0033876898,0.008994281,0.0015494535,0.00829649,0.0009746989,0.0064988732,0.0013097612,0.008614838,0.0010075847,0.0054192543
9000,0.0014547739,0.0060858577,0.0009599733,0.0069116876,0.0013611314,0.0075766444,0.002413497,0.006349683,0.00065852026,0.00607574,0.0014812769,0.006186247,0.006255154,0.010364175,0.0027588487,0.011403561,0.0016659256,0.00704813,0.0006356106,0.007610111,0.0032045317,0.008201077
10000,0.0013546691,0.0056761503,0.0018220114,0.0071419477,0.0014583785,0.008067131,0.002936519,0.008580387,0.0009857869,0.008546054,0.0011908269,0.006538257,0.0014371776,0.0069608837,0.0018736917,0.006190181,0.0025413309,0.009147644,0.0007605457,0.006414175,0.003125077,0.007835746
