epoch,processor_unit_units_status_cpu_board_cpu_fan_avg,processor_unit_units_status_cpu_board_cpu_fan_max,processor_unit_units_status_cpu_board_cpu_bd_fan1_avg,processor_unit_units_status_cpu_board_cpu_bd_fan1_max,processor_unit_units_status_cpu_board_cpu_bd_fan2_avg,processor_unit_units_status_cpu_board_cpu_bd_fan2_max,processor_unit_units_status_cpu_board_cpu_bd_temp_avg,processor_unit_units_status_cpu_board_cpu_bd_temp_max,processor_unit_units_status_cpu_board_cpu_core_temp_avg,processor_unit_units_status_cpu_board_cpu_core_temp_max,processor_unit_units_status_cpu_board_gpu_core_temp_avg,processor_unit_units_status_cpu_board_gpu_core_temp_max,processor_unit_units_status_cpu_board_cpu_core_vol_avg,processor_unit_units_status_cpu_board_cpu_core_vol_max,processor_unit_units_status_cpu_board_cpu_bd_vbat_avg,processor_unit_units_status_cpu_board_cpu_bd_vbat_max,processor_unit_units_status_cpu_board_cpu_bd_p3_3v_avg,processor_unit_units_status_cpu_board_cpu_bd_p3_3v_max,processor_unit_units_status_cpu_board_cpu_bd_p5v_avg,processor_unit_units_status_cpu_board_cpu_bd_p5v_max,processor_unit_units_status_cpu_board_cpu_bd_p12v_avg,processor_unit_units_status_cpu_board_cpu_bd_p12v_max
1000,0.0053819227,0.036707178,0.0059034685,0.03006515,0.01889297,0.06414008,0.005179428,0.036173344,0.0047795475,0.024965316,0.0040456397,0.023107708,0.006412328,0.035106838,0.00439788,0.023871064,0.005033958,0.02624464,0.0039018388,0.019523025,0.003450645,0.025408974
2000,0.0026460127,0.016363233,0.004112962,0.022469789,0.0139685115,0.04202372,0.0048463293,0.020011902,0.0022557075,0.016448617,0.0029174595,0.017930262,0.0070179286,0.026671767,0.0035738782,0.019768119,0.0030120004,0.019697964,0.0027345316,0.018653035,0.002633758,0.026272992
3000,0.005555356,0.026948482,0.0034617193,0.01697582,0.011841937,0.037155688,0.0035667946,0.017258078,0.0026751705,0.01709643,0.002064669,0.01405856,0.0068416167,0.025154859,0.0036557552,0.02299726,0.002497034,0.017420173,0.0031922224,0.020993054,0.002453931,0.016950404
4000,0.002114042,0.02307564,0.0036422107,0.020016313,0.006964696,0.0361346,0.0022062412,0.018007934,0.0043504536,0.020315468,0.0037769165,0.016290426,0.003850195,0.017654002,0.0024849575,0.018394351,0.0025237617,0.020289361,0.0020056423,0.011621475,0.0035182121,0.017557621
5000,0.0023357023,0.020004705,0.0019492625,0.01680696,0.008264075,0.0372743,0.0026937723,0.019246459,0.0025465486,0.014739066,0.0021632768,0.015732765,0.0026001055,0.018546164,0.0024773558,0.015684485,0.002429663,0.015963614,0.00167874,0.012292922,0.0019405443,0.01196301
6000,0.0021989292,0.017101467,0.0020535863,0.0145664215,0.010121948,0.037514508,0.0023616261,0.018473923,0.0032557845,0.017427683,0.003414307,0.013882905,0.0031217101,0.016477525,0.00201167,0.017119884,0.0025295122,0.020023227,0.0020054765,0.012644529,0.0014531247,0.014051348
7000,0.003293939,0.019975424,0.0033344696,0.018782988,0.0082557555,0.03487885,0.004203229,0.01986453,0.0048197997,0.029315531,0.001961892,0.013610482,0.005326047,0.018030643,0.002086075,0.01638621,0.00267597,0.020870805,0.0013827252,0.013005912,0.0049428213,0.017572641
8000,0.0042044837,0.020189583,0.0067911143,0.022004664,0.008474039,0.034457386,0.008330186,0.026560828,0.0030906987,0.021308873,0.003074075,0.018604398,0.00529544,0.018513143,0.003847466,0.02032162,0.00305571,0.025991082,0.0012587907,0.015047789,0.008490461,0.023685217
9000,0.003101603,0.015623927,0.0054932325,0.020130545,0.009777126,0.037484467,0.0039786603,0.025689542,0.0032797677,0.020422101,0.003604048,0.015382923,0.0028813982,0.018113911,0.0046648257,0.018565059,0.0030488716,0.020309925,0.0020747646,0.014896333,0.005398783,0.0171794
