epoch,processor_unit_units_status_cpu_board_cpu_fan_avg,processor_unit_units_status_cpu_board_cpu_fan_max,processor_unit_units_status_cpu_board_cpu_bd_fan1_avg,processor_unit_units_status_cpu_board_cpu_bd_fan1_max,processor_unit_units_status_cpu_board_cpu_bd_fan2_avg,processor_unit_units_status_cpu_board_cpu_bd_fan2_max,processor_unit_units_status_cpu_board_cpu_bd_temp_avg,processor_unit_units_status_cpu_board_cpu_bd_temp_max,processor_unit_units_status_cpu_board_cpu_core_temp_avg,processor_unit_units_status_cpu_board_cpu_core_temp_max,processor_unit_units_status_cpu_board_gpu_core_temp_avg,processor_unit_units_status_cpu_board_gpu_core_temp_max,processor_unit_units_status_cpu_board_cpu_core_vol_avg,processor_unit_units_status_cpu_board_cpu_core_vol_max,processor_unit_units_status_cpu_board_cpu_bd_vbat_avg,processor_unit_units_status_cpu_board_cpu_bd_vbat_max,processor_unit_units_status_cpu_board_cpu_bd_p3_3v_avg,processor_unit_units_status_cpu_board_cpu_bd_p3_3v_max,processor_unit_units_status_cpu_board_cpu_bd_p5v_avg,processor_unit_units_status_cpu_board_cpu_bd_p5v_max,processor_unit_units_status_cpu_board_cpu_bd_p12v_avg,processor_unit_units_status_cpu_board_cpu_bd_p12v_max
1000,0.0053273574,0.030467093,0.0028134736,0.023036718,0.021033008,0.06122583,0.0041825725,0.02037251,0.005114273,0.028086722,0.0058036787,0.028352499,0.007525432,0.03780292,0.0033978338,0.023149014,0.0028013252,0.022672383,0.0054245805,0.028737692,0.0043693567,0.024163187
2000,0.003326263,0.018782794,0.0023244938,0.016201317,0.009924429,0.036471844,0.0024830592,0.015237242,0.0019028984,0.017855197,0.0016025214,0.01371935,0.0045929644,0.0151183605,0.0027007372,0.017957568,0.0051902905,0.018168151,0.0040789177,0.019751174,0.010220852,0.02737391
3000,0.0027822456,0.014498234,0.002434938,0.014688045,0.009432493,0.0374223,0.003982704,0.016497925,0.0021711413,0.0150705725,0.003968641,0.017958194,0.008231297,0.02457981,0.003814249,0.025923252,0.0030688418,0.020533562,0.0024627543,0.017354174,0.0035354227,0.018614233
4000,0.0029441582,0.01839143,0.0016467987,0.012550369,0.008004169,0.034497738,0.0017643361,0.0108837485,0.001573322,0.011569664,0.0023547092,0.01279816,0.002825728,0.01578097,0.0032340405,0.017095089,0.0036417695,0.019147813,0.0032093418,0.020617737,0.0035901368,0.016022205
5000,0.0031274103,0.012669027,0.0017156816,0.008569017,0.002808457,0.01346612,0.0020396071,0.011120677,0.0015829881,0.008587122,0.0020412318,0.0074520707,0.0020190254,0.009103477,0.0010440964,0.008156896,0.003804308,0.012775183,0.004275749,0.01303494,0.0025957318,0.008630633
6000,0.00081355346,0.00561285,0.0006536565,0.0045989454,0.0014487669,0.007687092,0.0018517473,0.005869508,0.0038745068,0.008925676,0.00080041046,0.0047863424,0.001483916,0.0067691207,0.0019412719,0.007999957,0.0008049487,0.008110537,0.00084113947,0.006933391,0.004641962,0.010354698
7000,0.0021176278,0.0070978403,0.002056064,0.006814614,0.00078802404,0.00557971,0.0006317026,0.004821241,0.0007919497,0.005517617,0.002517706,0.006184727,0.0019696811,0.0064685345,0.0007661689,0.004876256,0.0013600612,0.0072833896,0.0010430102,0.0059061646,0.00079221104,0.0060766935
8000,0.0016708241,0.006705165,0.0013450794,0.0057920814,0.0019336118,0.0074513555,0.0008281561,0.004332423,0.002066617,0.007161021,0.0010635772,0.0038681626,0.0010020946,0.0042867362,0.0020054139,0.009080887,0.0011150443,0.0069975853,0.0019705268,0.0069361925,0.0016210739,0.005979745
9000,0.0012181157,0.0053109527,0.0014448598,0.0048653483,0.0017263764,0.006391883,0.0026432367,0.005671531,0.002326898,0.007447794,0.0015009525,0.0049921274,0.0013565903,0.0058687925,0.0011280669,0.008019924,0.0011010955,0.0060459375,0.0007988091,0.005348861,0.0007543063,0.005060196
10000,0.0013125129,0.00695312,0.001731805,0.0064544976,0.0012412461,0.0054576397,0.0032077977,0.008544207,0.0013965754,0.005520582,0.0018475463,0.006192982,0.001483192,0.006344855,0.0005848893,0.003927827,0.00093912316,0.007884204,0.00064962,0.0054418445,0.0006713458,0.0037511587
